index,Gene symbol,HGNC ID,UniProt
354,ADH5,HGNC:253,P11766
355,ADH6,HGNC:255,P28332
356,ADH7,HGNC:256,P40394
357,ADHFE1,HGNC:16354,Q8IWW8
358,ADI1,HGNC:30576,Q9BV57
359,ADIG,HGNC:28606,Q0VDE8
360,ADIPOQ,HGNC:13633,Q15848
361,ADIPOR1,HGNC:24040,Q96A54
362,ADIPOR2,HGNC:24041,Q86V24
363,ADIRF,HGNC:24043,Q15847
364,ADISSP,HGNC:15873,Q9GZN8
365,ADK,HGNC:257,P55263
366,ADM,HGNC:259,P35318
367,ADM2,HGNC:28898,Q7Z4H4
368,ADM5,HGNC:27293,C9JUS6
369,ADNP,HGNC:15766,Q9H2P0
370,ADNP2,HGNC:23803,Q6IQ32
371,ADO,HGNC:23506,Q96SZ5
372,ADORA1,HGNC:262,P30542
373,ADORA2A,HGNC:263,P29274
374,ADORA2B,HGNC:264,P29275
375,ADORA3,HGNC:268,P0DMS8
376,ADPGK,HGNC:25250,Q9BRR6
377,ADPRH,HGNC:269,P54922
378,ADPRHL1,HGNC:21303,Q8NDY3
379,ADPRM,HGNC:30925,Q3LIE5
380,ADPRS,HGNC:21304,Q9NX46
381,ADRA1A,HGNC:277,P35348
382,ADRA1B,HGNC:278,P35368
383,ADRA1D,HGNC:280,P25100
384,ADRA2A,HGNC:281,P08913
385,ADRA2B,HGNC:282,P18089
386,ADRA2C,HGNC:283,P18825
387,ADRB1,HGNC:285,P08588
388,ADRB2,HGNC:286,P07550
389,ADRB3,HGNC:288,P13945
390,ADRM1,HGNC:15759,Q16186
391,ADSL,HGNC:291,P30566
392,ADSS1,HGNC:20093,Q8N142
393,ADSS2,HGNC:292,P30520
394,ADTRP,HGNC:21214,Q96IZ2
395,AEBP1,HGNC:303,Q8IUX7
396,AEBP2,HGNC:24051,Q6ZN18
397,AEN,HGNC:25722,Q8WTP8
398,AFAP1,HGNC:24017,Q8N556
399,AFAP1L1,HGNC:26714,Q8TED9
400,AFAP1L2,HGNC:25901,Q8N4X5
401,AFDN,HGNC:7137,P55196
402,AFF1,HGNC:7135,P51825
403,AFF2,HGNC:3776,P51816
404,AFF3,HGNC:6473,P51826
405,AFF4,HGNC:17869,Q9UHB7
406,AFG1L,HGNC:16411,Q8WV93
407,AFG2A,HGNC:18119,Q8NB90
408,AFG2B,HGNC:28762,Q9BVQ7
409,AFG3L2,HGNC:315,Q9Y4W6
410,AFM,HGNC:316,P43652
411,AFMID,HGNC:20910,Q63HM1
412,AFP,HGNC:317,P02771
413,AFTPH,HGNC:25951,Q6ULP2
414,AGA,HGNC:318,P20933
415,AGAP1,HGNC:16922,Q9UPQ3
416,AGAP2,HGNC:16921,Q99490
417,AGAP3,HGNC:16923,Q96P47
418,AGAP4,HGNC:23459,Q96P64
419,AGAP5,HGNC:23467,A6NIR3
420,AGAP6,HGNC:23466,Q5VW22
421,AGAP9,HGNC:23463,Q5VTM2
422,AGBL1,HGNC:26504,Q96MI9
423,AGBL2,HGNC:26296,Q5U5Z8
424,AGBL3,HGNC:27981,Q8NEM8
425,AGBL4,HGNC:25892,Q5VU57
426,AGBL5,HGNC:26147,Q8NDL9
427,AGER,HGNC:320,Q15109
428,AGFG1,HGNC:5175,P52594
429,AGFG2,HGNC:5177,O95081
430,AGGF1,HGNC:24684,Q8N302
431,AGK,HGNC:21869,Q53H12
432,AGL,HGNC:321,P35573
433,AGMAT,HGNC:18407,Q9BSE5
434,AGMO,HGNC:33784,Q6ZNB7
435,AGO1,HGNC:3262,Q9UL18
436,AGO2,HGNC:3263,Q9UKV8
437,AGO3,HGNC:18421,Q9H9G7
438,AGO4,HGNC:18424,Q9HCK5
439,AGPAT1,HGNC:324,Q99943
440,AGPAT2,HGNC:325,O15120
441,AGPAT3,HGNC:326,Q9NRZ7
442,AGPAT4,HGNC:20885,Q9NRZ5
443,AGPAT5,HGNC:20886,Q9NUQ2
444,AGPS,HGNC:327,O00116
445,AGR2,HGNC:328,O95994
446,AGR3,HGNC:24167,Q8TD06
447,AGRN,HGNC:329,O00468
448,AGRP,HGNC:330,O00253
449,AGT,HGNC:333,P01019
450,AGTPBP1,HGNC:17258,Q9UPW5
451,AGTR1,HGNC:336,P30556
452,AGTR2,HGNC:338,P50052
453,AGTRAP,HGNC:13539,Q6RW13
454,AGXT,HGNC:341,P21549
455,AGXT2,HGNC:14412,Q9BYV1
456,AHCTF1,HGNC:24618,Q8WYP5
457,AHCY,HGNC:343,P23526
458,AHCYL1,HGNC:344,O43865
459,AHCYL2,HGNC:22204,Q96HN2
460,AHDC1,HGNC:25230,Q5TGY3
461,AHI1,HGNC:21575,Q8N157
462,AHNAK,HGNC:347,Q09666
463,AHNAK2,HGNC:20125,Q8IVF2
464,AHR,HGNC:348,P35869
465,AHRR,HGNC:346,A9YTQ3
466,AHSA1,HGNC:1189,O95433
467,AHSG,HGNC:349,P02765
468,AHSP,HGNC:18075,Q9NZD4
469,AICDA,HGNC:13203,Q9GZX7
470,AIDA,HGNC:25761,Q96BJ3
471,AIF1,HGNC:352,P55008
472,AIF1L,HGNC:28904,Q9BQI0
473,AIFM1,HGNC:8768,O95831
474,AIFM2,HGNC:21411,Q9BRQ8
475,AIFM3,HGNC:26398,Q96NN9
476,AIG1,HGNC:21607,Q9NVV5
477,AIM2,HGNC:357,O14862
478,AIMP1,HGNC:10648,Q12904
479,AIMP2,HGNC:20609,Q13155
480,AIP,HGNC:358,O00170
481,AIPL1,HGNC:359,Q9NZN9
482,AIRE,HGNC:360,O43918
483,AIRIM,HGNC:26039,Q9NX04
484,AJAP1,HGNC:30801,Q9UKB5
485,AJM1,HGNC:37284,C9J069
486,AJUBA,HGNC:20250,Q96IF1
487,AK1,HGNC:361,P00568
488,AK2,HGNC:362,P54819
489,AK3,HGNC:17376,Q9UIJ7
490,AK4,HGNC:363,P27144
491,AK5,HGNC:365,Q9Y6K8
492,AK6,HGNC:49151,Q9Y3D8
493,AK7,HGNC:20091,Q96M32
494,AK8,HGNC:26526,Q96MA6
495,AK9,HGNC:33814,Q5TCS8
496,AKAIN1,HGNC:28285,P0CW23
