,Code,Title
261,1B73.Z,"Ecthyma, unspecified"
262,1B74,Superficial bacterial folliculitis
263,1B74.0,Staphylococcus aureus superficial folliculitis
264,1B74.Y,Superficial bacterial folliculitis due to other specified organism
265,1B74.Z,Superficial bacterial folliculitis due to unspecified organism
266,1B75,Deep bacterial folliculitis or pyogenic abscess of the skin
267,1B75.0,Furuncle
268,1B75.1,Carbuncle
269,1B75.2,Furunculosis
270,1B75.3,Pyogenic abscess of the skin
271,1B75.4,Chronic deep bacterial folliculitis
272,1B75.Z,"Deep bacterial folliculitis or pyogenic abscess of the skin, unspecified"
273,1B7Y,Other specified pyogenic bacterial infection of skin or subcutaneous tissue
274,1B7Z,"Pyogenic bacterial infection of skin or subcutaneous tissue, unspecified"
276,1B90,Rat-bite fevers
277,1B90.0,Spirillosis
278,1B90.1,Streptobacillosis
279,1B91,Leptospirosis
280,1B92,Glanders
281,1B93,Plague
282,1B93.0,Bubonic plague
283,1B93.1,Cellulocutaneous plague
284,1B93.2,Pneumonic plague
285,1B93.3,Plague meningitis
286,1B93.Y,Other specified plague
287,1B93.Z,"Plague, unspecified"
288,1B94,Tularaemia
289,1B94.0,Ulceroglandular tularaemia
290,1B94.Y,Other specified tularaemia
291,1B94.Z,"Tularaemia, unspecified"
292,1B95,Brucellosis
293,1B96,Erysipeloid
294,1B97,Anthrax
295,1B98,Cat-scratch disease
296,1B99,Pasteurellosis
297,1B9A,Extraintestinal yersiniosis
298,1B9Z,Unspecified zoonotic bacterial disease
300,1C10,Actinomycosis
301,1C10.0,Pulmonary actinomycosis
302,1C10.1,Abdominal actinomycosis
303,1C10.2,Cervicofacial actinomycosis
304,1C10.3,Primary cutaneous actinomycosis
305,1C10.Y,Other specified forms of actinomycosis
306,1C10.Z,"Actinomycosis, unspecified"
307,1C11,Bartonellosis
308,1C11.0,Carrion disease
309,1C11.00,Oroya fever
310,1C11.01,Verruga peruana
311,1C11.1,Trench fever
